Product ID;Cantidad;Estado;precio actual
1;1000;0;0
2;1000;0;0
3;1000;1;27,35
4;1000;1;22,67
7;1000;1;28,09
8;1000;1;32,03
18;1000;0;0
19;1000;0;0
20;1000;0;0
21;1000;0;0
22;1000;0;0
23;1000;0;0
24;1000;0;0
25;1000;0;0
26;1000;1;62,59
27;1000;1;34,5
28;1000;1;25,38
29;1000;1;58,64
30;1000;0;0
31;1000;1;48,05
32;1000;1;49,53
33;1000;0;0
40;1000;1;78,85
41;1000;1;54,95
44;1000;1;29,32
45;1000;0;0
46;1000;0;0
47;1000;0;0
54;1000;1;8,13
55;1000;0;0
56;1000;1;45,83
57;1000;1;48,79
58;1000;1;30,8
59;1000;0;0
60;1000;0;0
61;1000;0;0
62;1000;0;0
63;1000;0;0
64;1000;0;0
65;1000;0;0
66;1000;0;0
67;1000;0;0
68;1000;0;0
69;1000;0;0
70;1000;0;0
71;1000;0;0
72;1000;0;0
73;1000;0;0
74;1000;0;0
75;1000;0;0
76;1000;0;0
77;1000;0;0
78;1000;0;0
79;1000;0;0
80;1000;0;0
81;1000;0;0
82;1000;0;0
83;1000;0;0
84;1000;0;0
85;1000;0;0
86;1000;0;0
87;1000;1;67,02
88;1000;1;133,06
89;1000;0;0
90;1000;1;24,89
91;1000;1;47,8
92;1000;1;47,8
93;1000;0;0
94;1000;0;0
95;1000;1;54,95
96;1000;0;0
97;1000;0;0
98;1000;1;26,36
99;1000;0;0
100;1000;0;0
101;1000;0;0
102;1000;0;0
103;1000;1;21,93
104;1000;0;0
105;1000;0;0
106;1000;1;22,92
107;1000;0;0
109;1000;0;0
114;1000;1;29,57
115;1000;0;0
116;1000;1;21,68
117;1000;1;29,57
118;1000;1;26,86
119;1000;1;34,5
120;1000;1;35,24
121;1000;1;37,45
122;1000;1;99,3
123;1000;1;55,44
124;1000;1;66,77
126;1000;1;78,85
127;1000;1;39,42
128;1000;0;0
129;1000;0;0
130;1000;1;36,96
131;1000;1;22,42
132;1000;1;38,68
133;1000;1;27,84
134;1000;1;25,13
135;1000;1;27,84
137;1000;1;43,37
139;1000;1;32,28
140;1000;1;30,06
141;1000;1;30,55
143;1000;1;31,29
144;1000;1;30,8
146;1000;1;29,57
147;1000;1;56,67
148;1000;0;0
150;1000;0;0
152;1000;0;0
153;1000;1;25,63
155;1000;1;48,54
156;1000;1;123,69
158;1000;0;0
159;1000;0;0
160;1000;0;0
161;1000;1;35,97
163;1000;1;70,72
164;1000;1;120,49
165;1000;1;30,31
166;1000;1;58,89
167;1000;1;66,04
168;1000;0;0
169;1000;0;0
171;1000;1;34,25
172;1000;1;71,46
173;1000;1;29,81
174;1000;1;17,99
175;1000;1;23,9
176;1000;0;0
177;1000;0;0
179;1000;0;0
180;1000;1;32,52
181;1000;0;0
182;1000;0;0
184;1000;1;32,52
185;1000;1;57,9
186;1000;0;0
187;1000;0;0
188;1000;1;32,03
190;1000;1;195,89
192;1000;1;171,49
194;1000;0;0
195;1000;1;196,87
196;1000;1;24,39
197;1000;1;40,16
199;1000;1;70,47
201;1000;1;44,35
202;1000;1;44,35
203;1000;1;44,35
204;1000;1;46,57
205;1000;1;17,74
206;1000;1;34
207;1000;1;101,27
208;1000;1;58,64
209;1000;0;0
210;1000;1;90,43
211;1000;1;35,48
212;1000;1;50,02
213;1000;1;48,54
214;1000;1;21,93
215;1000;0;0
217;1000;0;0
218;1000;0;0
219;1000;1;28,09
220;1000;0;0
221;1000;0;0
222;1000;0;0
223;1000;0;0
224;1000;0;0
225;1000;0;0
226;1000;0;0
227;1000;0;0
228;1000;1;34,74
229;1000;1;31,05
230;1000;0;0
231;1000;0;0
232;1000;0;0
233;1000;1;63,32
234;1000;1;89,2
235;1000;1;78,6
236;1000;1;117,04
237;1000;1;70,96
238;1000;1;141,19
239;1000;0;0
240;1000;0;0
241;1000;0;0
242;1000;0;0
243;1000;0;0
244;1000;1;40,66
245;1000;1;30,31
246;1000;1;36,47
247;1000;1;20,45
248;1000;1;36,22
249;1000;1;19,96
250;1000;1;33,26
251;1000;1;42,87
252;1000;0;0
253;1000;1;20,7
254;1000;1;44,35
255;1000;1;53,47
256;1000;1;28,58
257;1000;1;24,15
258;1000;1;24,39
259;1000;0;0
260;1000;1;33,51
261;1000;0;0
262;1000;1;105,21
263;1000;1;39,18
264;1000;0;0
265;1000;1;41,4
266;1000;1;40,41
267;1000;1;33,51
268;1000;1;41,4
269;1000;1;7,64
270;1000;1;14,54
271;1000;1;56,92
272;1000;1;24,39
273;1000;1;34
274;1000;1;31,79
275;1000;1;26,61
276;1000;1;66,04
435;1000;0;0
436;1000;0;0
437;1000;1;30,06
438;1000;1;25,63
440;1000;1;38,19
441;1000;1;32,52
442;1000;0;0
443;1000;1;44,11
444;1000;1;30,55
450;5000;0;0
451;5000;0;0
452;10000;0;0
453;1000;0;0
454;1000;0;0
455;1000;0;0
456;10000;0;0
457;1000;0;0
458;10000;0;0
459;10000;0;0
460;1000;0;0
461;1000;0;0
462;1000;0;0
463;1000;0;0
464;1000;0;0
465;1000;0;0
466;1000;0;0
467;1000;0;0
468;1000;0;0
469;1000;0;0
470;1000;0;0
471;1000;0;0
472;1000;0;0
473;1000;0;0
474;1000;0;0
475;1000;0;0
476;1000;0;0
478;1000;0;0
